facility_id,facility_type,mape,rmse,mae,accuracy_pct,baseline_mape,mape_improvement,overstaffing_reduction,excess_cost_model,excess_cost_baseline
F001,Hospital,20.14,21.84,16.04,79.86,20.51,0.37,-111.02,478401.67,226712.42
F002,Hospital,18.32,21.86,15.84,81.68,18.26,-0.06,-112.56,483886.99,227646.25
F003,Hospital,20.2,21.48,16.38,79.8,19.66,-0.54,-122.5,502208.85,225709.61
F004,Hospital,17.13,19.38,14.48,82.87,19.53,2.4,-94.05,430495.91,221844.57
F005,Hospital,17.12,20.58,14.48,82.88,19.53,2.41,-91.49,418855.01,218736.27
F006,Long_Term_Care,19.07,14.27,10.98,80.93,18.8,-0.27,-130.7,325707.6,141181.52
F007,Long_Term_Care,17.13,12.78,9.75,82.87,18.58,1.45,-107.27,292168.06,140963.33
F008,Long_Term_Care,18.89,14.85,10.27,81.11,19.43,0.54,-108.31,313384.82,150439.03
F009,Long_Term_Care,17.1,13.69,9.47,82.9,19.28,2.18,-99.16,288136.46,144672.88
F010,Long_Term_Care,18.36,12.74,9.43,81.64,20.45,2.09,-90.7,283909.0,148877.52
